SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality
FADER,C0-56-27-18-69-64,802.11n,-36,95,95.0,2.437,6,208,15,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,4/8/2019 3:04:44 PM,4/8/2019 3:04:44 PM,1,4/8/2019 3:04:41 PM,95,95
FADER,C0-56-27-18-69-65,802.11n,-43,90,90.0,5.180,36,186,10,Belkin International Inc.,,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,34 - 38,Infrastructure,No,4/8/2019 3:04:44 PM,4/8/2019 3:04:44 PM,1,4/8/2019 3:04:40 PM,90,90
Linksys11131,C0-56-27-1B-F3-F4,802.11n,-45,89,89.0,2.412,1,297,14,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,1 - 3,Infrastructure,Not Configured,4/8/2019 3:04:44 PM,4/8/2019 3:04:44 PM,1,4/8/2019 3:04:41 PM,89,89
Linksys07448,C0-56-27-1B-9D-C5,802.11n,-47,87,87.0,2.437,6,283,13,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,144 Mbps,20 MHz,4 - 8,Infrastructure,Not Configured,4/8/2019 3:04:44 PM,4/8/2019 3:04:44 PM,1,4/8/2019 3:04:41 PM,87,87
Linksys11131,C0-56-27-1B-F3-F5,802.11n,-50,85,85.0,5.180,36,275,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,34 - 42,Infrastructure,Not Configured,4/8/2019 3:04:44 PM,4/8/2019 3:04:44 PM,1,4/8/2019 3:04:40 PM,85,85
WLANMTSU,D8-84-66-13-10-00,802.11ac,-54,82,82.0,5.745,149,168,12,Extreme Networks,,,None,None,1170 Mbps,80 MHz,147 - 163,Infrastructure,No,4/8/2019 3:04:44 PM,4/8/2019 3:04:44 PM,1,4/8/2019 3:04:44 PM,82,82
WLANMTSU,D8-84-66-12-51-60,802.11ac,-58,80,80.0,5.180,36,162,11,Extreme Networks,,,None,None,1170 Mbps,80 MHz,34 - 50,Infrastructure,No,4/8/2019 3:04:44 PM,4/8/2019 3:04:44 PM,1,4/8/2019 3:04:40 PM,80,80
Linksys07448,C0-56-27-1B-9D-C6,802.11n,-62,72,72.0,5.220,44,268,9,Belkin International Inc.,Linksys E2500,Linksys E2500,None,None,300 Mbps,40 MHz,42 - 50,Infrastructure,Not Configured,4/8/2019 3:04:44 PM,4/8/2019 3:04:44 PM,1,4/8/2019 3:04:40 PM,72,72
DIRECT-61-HP OfficeJet Pro 7720,1A-60-24-65-8C-61,802.11n,-70,40,40.0,2.462,11,468,14,,OfficeJet Pro 7720 Wide Format A,DIRECT-61-HP OfficeJet Pro 7720,WPA2-PSK,CCMP,72 Mbps,20 MHz,9 - 13,Infrastructure,Configured,4/8/2019 3:04:44 PM,4/8/2019 3:04:44 PM,1,4/8/2019 3:04:41 PM,40,40
DIRECT-99-HP M477 LaserJet,76-40-BB-75-35-99,802.11n,-73,34,34.0,2.437,6,281,13,,,,WPA2-PSK,CCMP,72 Mbps,20 MHz,4 - 8,Infrastructure,No,4/8/2019 3:04:44 PM,4/8/2019 3:04:44 PM,1,4/8/2019 3:04:41 PM,34,34
WLANMTSU,D8-84-66-12-81-B8,802.11n,-79,22,22.0,2.437,6,128,10,Extreme Networks,,,None,None,195 Mbps,20 MHz,4 - 8,Infrastructure,No,4/8/2019 3:04:44 PM,4/8/2019 3:04:44 PM,1,4/8/2019 3:04:41 PM,22,22
